start,symbol,Start_Datum,Start_Open,Ende_Datum,Ende_Open,Close,Volume,days,profit,sum
2023-12-26,ypf,2023-12-27,17.4,2024-01-08,16.55,17.47,2265700.0,6.0,-4.885057471264356,-3.3067431866957397
2023-12-26,rcl,2023-12-27,129.0,2024-01-08,123.85,128.98,2039700.0,6.0,-3.9922480620155083,-7.298991248711248
2023-12-27,riot,2023-12-28,18.21,2023-12-29,17.87,18.62,43092600.0,0.0,-1.8671059857221297,-9.166097234433378
2023-12-28,anf,2023-12-29,90.13,2024-01-18,100.29,90.01,1488300.0,11.0,11.272606235437713,2.1065090010043352
2023-12-29,xpo,2024-01-02,87.02,2024-01-03,84.09,87.59,1121100.0,0.0,-3.367042059296705,-1.2605330582923697
2024-01-02,bldr,2024-01-03,161.97,2024-01-09,161.38,165.38,1320300.0,3.0,-0.3642649873433373,-1.624798045635707
2024-01-02,elf,2024-01-03,138.01,2024-01-04,132.1,139.66,1732800.0,0.0,-4.282298384175057,-5.907096429810764
2024-01-03,blbd,2024-01-04,25.19,2024-01-05,24.99,25.08,1109800.0,0.0,-0.7939658594680541,-6.701062289278818
2024-01-03,cls,2024-01-04,28.01,2024-01-08,28.01,28.17,1351100.0,1.0,0.0,-6.701062289278818
2024-01-03,phm,2024-01-04,99.9,2024-01-17,103.19,100.47,2018700.0,7.0,3.2932932932932855,-3.4077689959855326
2024-01-04,smci,2024-01-05,288.8,2024-02-20,790.0,288.8,2311100.0,29.0,173.54570637119113,170.1379373752056
2024-01-05,imvt,2024-01-08,42.12,2024-01-19,40.54,42.78,2949700.0,7.0,-3.751187084520414,166.3867502906852
2024-01-05,nvda,2024-01-08,495.12,2024-04-04,904.06,490.97,41456800.0,59.0,82.5941185975117,248.98086888819688
2024-01-05,elf,2024-01-08,139.3,2024-01-11,157.9,138.02,1019300.0,2.0,13.352476669059579,262.33334555725645
2024-01-08,caba,2024-01-09,24.24,2024-01-10,23.86,24.24,1081600.0,0.0,-1.5676567656765636,260.76568879157986
2024-01-08,rxst,2024-01-09,45.42,2024-01-10,46.06,45.3,1485500.0,0.0,1.4090708938793495,262.1747596854592
2024-01-09,bldr,2024-01-10,165.98,2024-01-12,168.78,165.35,1048100.0,1.0,1.6869502349680754,263.8617099204273
2024-01-09,cls,2024-01-10,28.95,2024-01-16,28.5,28.75,1501800.0,2.0,-1.5544041450777177,262.30730577534956
